issue_id,multichoice,fr_category,fr,fr_multichoice,en_category,en,en_multichoice,es_category,es,es_multichoice,length
1,0,Social & Solidarité,Verser les allocations aux adultes handicapés (AAH) indépendamment des revenus du conjoint,,Social & Solidarity,Pay adult disability benefits independenly of their spouse's revenue,,Social y Solidaridad,Pagar las asignaciones por discapacidad de adultos (AAH) independientemente del ingreso del cónyuge,,90
2,0,Social & Solidarité,"Bloquer les prix des produits de première nécessité : gaz, électricité, alimentation",,Social & Solidarity,"Cap prices of essential products: gas, electricity, food",,Social y Solidaridad,"Fijar un precio máximo para servicios y productos de primera necesidad: gas, electricidad, alimentos",,84
3,0,Social & Solidarité,Réserver les aides sociales aux personnes de nationalité francaise,,Social & Solidarity,Reserve social security assistance only for people of French nationality,,Social y Solidaridad,Reservar las ayudas sociales sólo para las personas de nacionalidad francesa,,66
4,0,Social & Solidarité,Restaurer l'universalité des allocations familiales (qui seront versées indépendemment des ressources),,Social & Solidarity,Pay family allowance independently of family resources,,Social y Solidaridad,Restaurar la universalidad de las asignaciones familiares (que se pagará de forma independiente),,102
5,0,Social & Solidarité,Verser des allocations familiales importantes dès le premier enfant,,Social & Solidarity,Pay a significant child allowance from the first child,,Social y Solidaridad,Pagar una asignación familiar importante desde el primer hijo o hija,,67
6,0,Territoires & Collectivités,Redistribuer une partie des fonds publics alloués aux villes pour soutenir les zones rurales,,Territories & Communities,Redirect a portion of a city's public funds to support rural areas,,Territorios y Comunidades,Reorientar una porción de los fondos públicos de las ciudades para apoyar las zonas rurales,,92
7,0,Territoires & Collectivités,Instaurer l'autonomie de plein droit pour la Corse ,,Territories & Communities,Establish full autonomy for Corsica,,Territorios y Comunidades,Establecer la autonomía completa de Córcega,,51
8,0,Politiques Publiques,Permettre à tous les couples d'adopter (y compris les couples du même sexe),,Public policies,"Allow all couples to adopt (married or not, including same-sex couples)",,Políticas Públicas,"Permitir que todas las parejas adopten (casadas o no, incluidas parejas del mismo sexo)",,75
9,0,Politiques Publiques,Décriminaliser la mort assistée,,Public policies,Decriminalization of assisted death ,,Políticas Públicas,Despenalización de la muerte asistida,,31
10,0,Politiques Publiques,Supprimer les allocations familiales et sociales pour les parents de mineurs délinquants,,Public policies,Suspend social benefits of parents of juvenile offenders,,Políticas Públicas,Eliminar las ayudas familiares y sociales para los padres de los delincuentes juveniles,,88
11,1,Politiques Publiques,Augmenter les salaires des enseignants,"['15%', '20%', '30%']",Public policies,Increase teacher salaries,"['15%', '20%', '30%']",Políticas Públicas,Aumentar los salarios de los maestros,"['15%', '20%', '30%']",38
