active	author	constitution	description	db_id	locale	name	id	short_name	source	subtopic	topic_id	topic_name	tweet
1				1	en	Expand health care coverage and issuance of health cards	1	Healthcare coverage			1	Health	
1				2	en	Tariff/Tax reduction on medicine	2	Taxes on drugs			1	Health	
1				3	en	Enact a bill prohibiting hospitals from turning down urgent patients	3	urgent patients			1	Health	
1				4	en	Legalizing the cultivation of cannabis for medical purposes	4	medicinal cannabis			1	Health	
1				5	en	Recovery of stolen public funds	5	Public funds			2	Justice	
1				6	en	Lifting public servants’ bank secrecy	6	Bank secrecy			2	Justice	
1				7	en	Lifting parliamentary and ministerial immunities	7	Immunities			2	Justice	
1				8	en	Remove unlawful occupations of the public maritime domain	8	Public maritime domain			2	Justice	
1				9	en	Creation of a special international tribunal to sanction the misuse of public funds	9	Misuse of public funds			2	Justice	
1				10	en	Strengthening judicial independence	10	Judicial Independence			2	Justice	
1				11	en	De-criminalizing LGBT individuals	11	LGBT			2	Justice	
1				12	en	End the funding of fraudulent associations	12	Fraudulent Associations			2	Justice	
1				13	en	Enact unified personal status laws	13	Status laws			2	Justice	
1				14	en	Adoption of the amnesty bill	14	amnesty bill			2	Justice	
1				15	en	Appoint a committee of judges to draft a road map to reclaim public funds and fight corruption	15	Corruption			2	Justice	
1				16	en	Reinstate subsidized housing loans	16	Housing loans			3	City/Citizen	
1				17	en	Improving living conditions in detention facilities	17	Detention			3	City/Citizen	
1				18	en	Introduction of safe bike lanes	18	Bike lanes			3	City/Citizen	
1				19	en	Provide electricity 24h	19	Electricity 24h			3	City/Citizen	
1				20	en	Investment in a train line from north to south	20	Train line			3	City/Citizen	
1				21	en	Restructuring of the Lebanese post system	21	Lebanese Post			3	City/Citizen	
1				22	en	Open Beirut’s park to the public	22	Beirut's Park			3	City/Citizen	
1				23	en	Improve Urban planning	23	Urban Planning			3	City/Citizen	
1				24	en	Revive and activate public transportation sector	24	Transportation			3	City/Citizen	
1				25	en	"Proposing a modern media law that regulates the media	 including periodicals and non-periodicals	 television and radio media	 electronic media and digital messages. It also guarantees the protection of freedom of expression through the Internet."	25	media law & freedom of expression			3	City/Citizen	
1				26	en	Freeze the licenses of crushers and quarries	26	Crushers & quarries			4	Environment	
1				27	en	Set a global and sustainable solution to our waste management	27	waste management			4	Environment	
1				28	en	Governmental incentives for car companies to introduce electric cars	28	electric cars			4	Environment	
1				29	en	Governmental incentives to encourage carpooling	29	carpooling			4	Environment	
1				30	en	Setting up a better rainwater harvesting system	30	rainwater			4	Environment	
1				31	en	Put a plan to clean the sea	31	clean the sea			4	Environment	
1				32	en	Launch a reforestation campaign	32	reforestation			4	Environment	
1				33	en	Enact the optional civil marriage law	33	civil marriage			5	Family/ Personal	
1				34	en	Enact Lebanese women's right to pass citizenship to her children	34	women's right to pass citizenship to her children			5	Family/ Personal	
1				35	en	Enact Lebanese women’s right to pass citizenship to her children with some restrictions for both men and women if the partner is from Syria/Palestine	35	women's right to pass citizenship to her children + restrictions			5	Family/ Personal	
1				36	en	Give more post natal vacation days	36	post natal vacation			5	Family/ Personal	
1				37	en	Establish a proper public pension scheme	37	public pension scheme			5	Family/ Personal	
1				38	en	Safe repatriation of Syrian refugees	38	Syrian refugees' safe repatriation			6	Security	
1				39	en	Voluntary repatriation of Syrian refugees	39	Syrian refugees' voluntary repatriation			6	Security	
1				40	en	Fighting smuggling and closure of illegal border crossings	40	Smuggling			6	Security	
1				41	en	Strengthening the legal framework to protect migrant workers	41	migrant workers			6	Security	
1				42	en	Find a solution for Stateless individuals who were born in Lebanon	42	Stateless individuals			6	Security	
1				43	en	Formation of an independent technocratic government	43	technocratic government			7	Government	
